SKU,Title,Average Rating,Rating Count,Sponsored,Price,Old Price,Discount,Express,Rank,Link
productBox-ZE5D7520215AA49D4ED49Z,"TYCOM Tycom
Resistance Loop Band…",5.0,2,N,AED 28.90,49,41% OFF,Y,1,https://www.noon.com/uae-en/tycom-resistance-loop-bands-resistance-exercise-bands-set-workout-bands-flex-bands-for-home-fitness-stretching-strength-training-physical-therapy-yoga/ZE5D7520215AA49D4ED49Z/p/?o=ze5d7520215aa49d4ed49z-1
productBox-ZE5D7520215AA49D4ED49Z,Generic Portable Pilates,N/A,N/A,N,AED 36,65,44% OFF,Y,2,https://www.noon.com/uae-en/portable-pilates-studio-exercise-stick-kit-yoga-belt-pilates-bar-with-foot-strap-for-full-body-workout/ZC4AC12C1B1374B0D96E2Z/p/?o=zc4ac12c1b1374b0d96e2z-1
productBox-ZE5D7520215AA49D4ED49Z,"Generic 5 Packs
Cooling Towel, Quick …",N/A,N/A,N,AED 30.90,79.95,61% OFF,Y,3,https://www.noon.com/uae-en/5-packs-cooling-towel-quick-dry-sports-towel-for-yoga-fitness-golf-tennis-camping-games-fitness-towel-30x80cm/ZD47F076F0E799BD13A58Z/p/?o=zd47f076f0e799bd13a58z-1
productBox-ZE5D7520215AA49D4ED49Z,"Bernessi 8MM Yoga
Mat with Carrying Stra…",4.8,62,N,AED 69.90,165,57% OFF,Y,4,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1
productBox-ZE5D7520215AA49D4ED49Z,"Bernessi 8MM Yoga
Mat with Carrying Stra…",5.0,4,N,AED 61.25,180,65% OFF,Y,5,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-light-pink-black-color/Z212ACDF2F7760CD34A11Z/p/?o=z212acdf2f7760cd34a11z-1
productBox-ZE5D7520215AA49D4ED49Z,"Cool Baby Style Pilates
Reformer Pilates Dirac…",N/A,N/A,N,"AED 4,299","4,999",14% OFF,Y,6,https://www.noon.com/uae-en/pilates-reformer-pilates-dirac-loft-bed-yoga-bed-home-commercial-fitness-equipment/ZD5319B6FE6A3815BBE65Z/p/?o=zd5319b6fe6a3815bbe65z-1
productBox-ZE5D7520215AA49D4ED49Z,"NNEWVANTE
Nnewvante Silk Sleep …",4.1,4,N,AED 23.95,35.95,33% OFF,Y,7,https://www.noon.com/uae-en/nnewvante-silk-sleep-mask-2-pack-100-real-natural-pure-silk-eye-mask-with-adjustable-strap-eye-mask-for-sleeping-eye-sleep-shade-cover-blocks-light-reduces-puffy-eyes-gifts/Z549615CC1C4033D14D98Z/p/?o=z549615cc1c4033d14d98z-1
productBox-ZE5D7520215AA49D4ED49Z,"Qiccijoo Qiccijoo Ankle
Weights Set 1 Pair 4kg…",N/A,N/A,N,AED 89,N/A,N/A,Y,8,https://www.noon.com/uae-en/qiccijoo-ankle-weights-set-1-pair-4kg-8-8lb-workout-ankle-weights-for-women-or-men-wrist-leg-weights-for-fitness-running-walking-2-2kg-4-4lb-blue/ZFC4F2BC1E9DC7B33305BZ/p/?o=zfc4f2bc1e9dc7b33305bz-1
productBox-ZE5D7520215AA49D4ED49Z,"MahMir MahMir Yoga
Mat Anti Slip Exercise …",4.5,29,N,AED 49.95,69.95,28% OFF,Y,9,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cmx61cmx6mm-thickness-for-woman-man-beginners-dark-grey-black/Z83C8A1AAB21D372A0063Z/p/?o=z83c8a1aab21d372a0063z-1
productBox-ZE5D7520215AA49D4ED49Z,"YooA 3-Pair Non-slip
Yoga Socks, Cotton Pil…",5.0,3,N,AED 32.80,50,34% OFF,Y,10,https://www.noon.com/uae-en/3-pair-non-slip-yoga-socks-cotton-pilates-socks-with-straps-breathable-moisture-wicking-machine-washable-ideal-for-yoga-pilates-ballet-dance-workout-purple-black-grey-fit-size-36-42/Z230C9460E2B3F2772EA3Z/p/?o=z230c9460e2b3f2772ea3z-1
